ID_Contrat,Type_Contrat,Date_Ouverture,Statut_Contrat,Montant_Assure,ID_Beneficiaire,Lien_Beneficiaire,Pourcentage_Repartition,Etape_Traitement,Date_Debut_Etape,Date_Fin_Etape,SLA_Jours,Blocage,Duree_Blocage_Jours
C00065,Décès,2024-04-11,Suspendu,328237.42,B8273,Conjoint,25,Paiement,2024-07-09,2024-07-16,17,Erreur technique,3
C00066,Décès,2023-09-16,En cours,118110.25,B9933,Autre,25,Analyse,2023-12-12,2023-12-18,20,Aucun,0
C00067,Décès,2023-11-02,Ouvert,236310.1,B8694,Enfant,33,Validation,2024-01-10,2024-02-08,28,Erreur technique,14
C00068,Vie,2023-07-15,Suspendu,64925.02,B3176,Autre,33,Validation,2023-10-12,2023-11-08,6,Litige,13
C00069,Multirisque,2023-07-04,Clos,465089.38,B5027,Conjoint,33,Analyse,2023-08-26,2023-08-27,20,Aucun,0
C00070,Invalidité,2024-04-16,Clos,346031.36,B2436,Conjoint,50,Validation,2024-07-25,2024-08-06,12,Documents manquants,2
C00071,Multirisque,2024-01-05,Ouvert,443851.08,B9316,Conjoint,25,Paiement,2024-03-20,2024-03-21,14,Aucun,0
C00072,Vie,2022-05-21,Clos,375366.36,B6038,Autre,100,Analyse,2022-07-22,2022-08-18,15,Aucun,0
C00073,Vie,2022-04-18,Suspendu,450208.61,B6663,Ami,33,Validation,2022-05-22,2022-06-14,17,Documents manquants,13
C00074,Multirisque,2022-06-08,Clos,317744.89,B6374,Ami,33,Paiement,2022-07-26,2022-07-30,15,Documents manquants,14
C00075,Invalidité,2024-10-25,En cours,16326.56,B6067,Conjoint,100,Réception dossier,2024-10-31,2024-11-08,29,Erreur technique,14
C00076,Invalidité,2022-01-30,Ouvert,17186.71,B5082,Autre,33,Validation,2022-03-21,2022-04-17,23,Erreur technique,9
C00077,Invalidité,2024-09-07,Ouvert,387720.77,B8007,Ami,50,Analyse,2024-10-11,2024-11-02,6,Litige,7
C00078,Décès,2022-01-27,Clos,257971.7,B9234,Enfant,50,Analyse,2022-03-14,2022-03-17,19,Litige,8
C00079,Vie,2022-01-13,Suspendu,12662.69,B6805,Autre,50,Paiement,2022-02-14,2022-03-12,29,Aucun,0
C00080,Invalidité,2024-05-07,Ouvert,371585.27,B5189,Parent,100,Validation,2024-08-02,2024-08-17,28,Erreur technique,7
C00081,Invalidité,2024-01-18,En cours,417201.68,B3400,Enfant,25,Validation,2024-03-03,2024-03-06,23,Erreur technique,4
C00082,Obsèques,2022-09-11,Suspendu,325870.13,B4157,Ami,25,Paiement,2022-09-29,2022-10-25,20,Documents manquants,11
C00083,Invalidité,2023-08-03,Ouvert,168892.53,B5599,Conjoint,33,Analyse,2023-09-28,2023-10-01,6,Litige,6
C00084,Vie,2024-01-04,Clos,344659.57,B2766,Ami,50,Paiement,2024-02-16,2024-02-17,13,Aucun,0
C00085,Décès,2022-06-09,Clos,414884.85,B4884,Enfant,100,Validation,2022-08-29,2022-09-27,13,Erreur technique,10
C00086,Multirisque,2022-11-20,Ouvert,182720.62,B6502,Ami,33,Validation,2022-12-25,2023-01-07,24,Litige,14
C00087,Obsèques,2023-02-08,Clos,24671.04,B8377,Enfant,100,Analyse,2023-02-27,2023-03-03,25,Erreur technique,13
C00088,Vie,2022-01-12,En cours,330996.88,B3981,Autre,100,Analyse,2022-02-26,2022-03-04,23,Litige,7
C00089,Décès,2024-05-26,En cours,156083.76,B4262,Enfant,50,Réception dossier,2024-05-26,2024-06-21,19,Documents manquants,4
C00090,Multirisque,2022-09-07,Clos,222271.04,B9463,Autre,50,Analyse,2022-12-01,2022-12-22,27,Aucun,0
C00091,Multirisque,2024-08-01,Clos,488976.46,B2649,Parent,33,Réception dossier,2024-10-26,2024-11-24,24,Aucun,0
C00092,Décès,2024-05-13,Clos,18174.19,B9457,Parent,50,Paiement,2024-07-21,2024-07-23,19,Documents manquants,2
C00093,Décès,2024-12-19,Clos,135572.33,B4093,Enfant,100,Analyse,2025-02-09,2025-03-09,9,Documents manquants,9
C00094,Vie,2024-03-12,Suspendu,463559.04,B7938,Parent,50,Réception dossier,2024-05-06,2024-05-12,13,Aucun,0
C00095,Multirisque,2023-10-01,Suspendu,444643.73,B7082,Parent,33,Validation,2023-11-19,2023-12-05,10,Documents manquants,12
C00096,Décès,2022-06-22,En cours,42388.3,B1908,Autre,50,Validation,2022-08-08,2022-08-12,12,Erreur technique,15
C00097,Invalidité,2024-04-02,En cours,343747.22,B5378,Autre,100,Validation,2024-04-12,2024-05-10,5,Erreur technique,2
C00098,Décès,2022-07-10,Ouvert,215348.92,B4732,Conjoint,100,Réception dossier,2022-09-26,2022-10-23,19,Erreur technique,7
C00099,Invalidité,2023-09-01,Clos,153222.7,B1340,Ami,100,Réception dossier,2023-09-01,2023-09-30,12,Aucun,0
C00100,Décès,2024-08-07,Ouvert,244002.12,B5776,Enfant,100,Paiement,2024-11-02,2024-11-03,8,Litige,3
